"Name","Count"
"adaptive-education-service","352"
"auth-service","99"
"educational-diagnosis-service","79"
"commons-service","20"
"e2e-tests","15"
"notification-service","12"
"common-events","9"
"_legacy_backup_2026_01__IGNORED","9"
"monitoring-service","8"
"report-service","8"
"tenant-service","8"
"assessment-service","7"
"bdd-tests","6"
"student-service","6"
"gateway-service","2"
"common-libs","2"
"ResourceController.java","1"
"Resource.java","1"
"ResourceRepository.java","1"
"discovery-server","1"
"ResourceService.java","1"
