"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","12","@RequestMapping(""/resources"")","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","18","    @GetMapping","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","23","    @GetMapping(""/{id}"")","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","30","    @PostMapping","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","35","    @PutMapping(""/{id}"")","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","40","    @DeleteMapping(""/{id}"")","ResourceController.java","C:\TEAC2026\ilp_backend\ResourceController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","13","@RequestMapping(""/api/v1/adaptation"")","AdaptationQueryController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\AdaptationQueryController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","19","    @GetMapping(""/history/{studentId}"")","AdaptationQueryController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\AdaptationQueryController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","13","@RequestMapping(""/api/v1/adaptation-rules"")","AdaptationRuleController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\AdaptationRuleController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","22","    @GetMapping","AdaptationRuleController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\AdaptationRuleController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","27","    @PostMapping","AdaptationRuleController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\AdaptationRuleController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","12","@RequestMapping(""/api/v1/recommendations"")","RecommendationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\RecommendationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","15","    @GetMapping(""/student/{studentId}"")","RecommendationController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\RecommendationController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","16","@RequestMapping(""/api/v1/adaptive"")","AdaptiveLearningPlanController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\adaptive\AdaptiveLearningPlanController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","21","    @GetMapping(""/students/{studentId}"")","AdaptiveLearningPlanController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\adaptive\AdaptiveLearningPlanController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","30","    @GetMapping(""/students/{studentId}/history"")","AdaptiveLearningPlanController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\adaptive\AdaptiveLearningPlanController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","20","@RequestMapping(""/api/v1/assessments/felder-silverman"")","FelderSilvermanAssessmentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\assessment\FelderSilvermanAssessmentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","25","    @PostMapping","FelderSilvermanAssessmentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\assessment\FelderSilvermanAssessmentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","32","    @GetMapping(""/students/{studentId}"")","FelderSilvermanAssessmentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\assessment\FelderSilvermanAssessmentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
"True","20","@RequestMapping(""/api/v1/assessments/kolb"")","KolbAssessmentController.java","C:\TEAC2026\ilp_backend\adaptive-education-service\src\main\java\com\inclusive\adaptiveeducationservice\api\assessment\KolbAssessmentController.java","@RequestMapping|@GetMapping|@PostMapping|@PutMapping|@DeleteMapping",,"System.Text.RegularExpressions.Match[]"
